UniqueID,ClientID,Kind,Action,Payload1,Payload2,Payload3
0,0,Invocation,Client.Write,,"{""type"":""VString"",""value"":""k1""}","{""type"":""VString"",""value"":""apple""}"
0,0,Response,Client.Write,"{""type"":""VTuple"",""value"":[]}",,
1,2,Invocation,Client.Write,,"{""type"":""VString"",""value"":""k2""}","{""type"":""VString"",""value"":""banana""}"
1,2,Response,Client.Write,"{""type"":""VTuple"",""value"":[]}",,
2,1,Invocation,Client.Read,,"{""type"":""VString"",""value"":""k1""}",
2,1,Response,Client.Read,"{""type"":""VOption"",""value"":null}",,
3,10,Invocation,Client.Write,,"{""type"":""VString"",""value"":""k4""}","{""type"":""VString"",""value"":""egg""}"
3,10,Response,Client.Write,"{""type"":""VTuple"",""value"":[]}",,
4,8,Invocation,Client.Write,,"{""type"":""VString"",""value"":""k3""}","{""type"":""VString"",""value"":""dog""}"
4,8,Response,Client.Write,"{""type"":""VTuple"",""value"":[]}",,
5,3,Invocation,Client.Read,,"{""type"":""VString"",""value"":""k2""}",
5,3,Response,Client.Read,"{""type"":""VOption"",""value"":{""type"":""VString"",""value"":""banana""}}",,
6,6,Invocation,Client.Delete,,"{""type"":""VString"",""value"":""k2""}",
6,6,Response,Client.Delete,"{""type"":""VTuple"",""value"":[]}",,
7,4,Invocation,Client.Write,,"{""type"":""VString"",""value"":""k1""}","{""type"":""VString"",""value"":""cherry""}"
7,4,Response,Client.Write,"{""type"":""VTuple"",""value"":[]}",,
8,7,Invocation,Client.Read,,"{""type"":""VString"",""value"":""k2""}",
8,7,Response,Client.Read,"{""type"":""VOption"",""value"":null}",,
9,11,Invocation,Client.Read,,"{""type"":""VString"",""value"":""k4""}",
9,11,Response,Client.Read,"{""type"":""VOption"",""value"":{""type"":""VString"",""value"":""egg""}}",,
10,9,Invocation,Client.Read,,"{""type"":""VString"",""value"":""k3""}",
10,9,Response,Client.Read,"{""type"":""VOption"",""value"":{""type"":""VString"",""value"":""dog""}}",,
11,5,Invocation,Client.Read,,"{""type"":""VString"",""value"":""k1""}",
11,5,Response,Client.Read,"{""type"":""VOption"",""value"":{""type"":""VString"",""value"":""cherry""}}",,
12,0,Invocation,Client.Read,,"{""type"":""VString"",""value"":""k1""}",
12,0,Response,Client.Read,"{""type"":""VOption"",""value"":{""type"":""VString"",""value"":""cherry""}}",,
13,1,Invocation,Client.Write,,"{""type"":""VString"",""value"":""k2""}","{""type"":""VString"",""value"":""fig""}"
13,1,Response,Client.Write,"{""type"":""VTuple"",""value"":[]}",,
14,3,Invocation,Client.Read,,"{""type"":""VString"",""value"":""k2""}",
14,3,Response,Client.Read,"{""type"":""VOption"",""value"":{""type"":""VString"",""value"":""fig""}}",,
15,2,Invocation,Client.Read,,"{""type"":""VString"",""value"":""k1""}",
15,2,Response,Client.Read,"{""type"":""VOption"",""value"":{""type"":""VString"",""value"":""cherry""}}",,
16,4,Invocation,Client.Delete,,"{""type"":""VString"",""value"":""k1""}",
16,4,Response,Client.Delete,"{""type"":""VTuple"",""value"":[]}",,
17,5,Invocation,Client.Read,,"{""type"":""VString"",""value"":""k1""}",
17,5,Response,Client.Read,"{""type"":""VOption"",""value"":null}",,
18,6,Invocation,Client.Write,,"{""type"":""VString"",""value"":""k5""}","{""type"":""VString"",""value"":""ham""}"
18,6,Response,Client.Write,"{""type"":""VTuple"",""value"":[]}",,
19,7,Invocation,Client.Read,,"{""type"":""VString"",""value"":""k5""}",
19,7,Response,Client.Read,"{""type"":""VOption"",""value"":{""type"":""VString"",""value"":""ham""}}",,
20,8,Invocation,Client.Write,,"{""type"":""VString"",""value"":""k3""}","{""type"":""VString"",""value"":""iguana""}"
20,8,Response,Client.Write,"{""type"":""VTuple"",""value"":[]}",,
21,9,Invocation,Client.Read,,"{""type"":""VString"",""value"":""k3""}",
21,9,Response,Client.Read,"{""type"":""VOption"",""value"":{""type"":""VString"",""value"":""iguana""}}",,
22,10,Invocation,Client.Delete,,"{""type"":""VString"",""value"":""k4""}",
22,10,Response,Client.Delete,"{""type"":""VTuple"",""value"":[]}",,
23,11,Invocation,Client.Read,,"{""type"":""VString"",""value"":""k4""}",
23,11,Response,Client.Read,"{""type"":""VOption"",""value"":null}",,
